month_end,longs,shorts,carry_EUR,carry_GBP,carry_AUD,carry_JPY,carry_CHF,carry_CAD,mom_EUR,mom_GBP,mom_AUD,mom_JPY,mom_CHF,mom_CAD,value_EUR,value_GBP,value_AUD,value_JPY,value_CHF,value_CAD,carry_NZD,mom_NZD,value_NZD
2009-07-31,"['GBP', 'NZD', 'JPY']","['CAD', 'EUR', 'CHF']",1.2279,1.2412,3.25,0.56,0.0871,0.225,-0.0852,-0.1573,-0.1072,0.1384,-0.019,-0.0502,-0.034,0.1976,-0.0881,0.0961,0.032,-0.1274,2.78,-0.0955,0.0592
2009-08-31,"['AUD', 'NZD', 'JPY']","['CAD', 'EUR', 'CHF']",0.975,1.0011,3.14,0.55,0.0718,0.234,-0.0229,-0.1058,-0.0165,0.1705,0.0402,-0.0281,-0.023,0.1987,-0.0628,0.0735,0.0273,-0.0955,2.79,-0.0232,0.0666
2009-09-30,"['AUD', 'JPY', 'NZD']","['CAD', 'EUR', 'CHF']",0.8605,0.7737,3.3,0.54,0.0738,0.23,0.0377,-0.1026,0.1116,0.1791,0.0817,-0.0065,-0.026,0.194,-0.0985,0.0759,0.0229,-0.119,2.76,0.0812,0.0487
2009-10-30,"['GBP', 'NZD', 'AUD']","['CAD', 'CHF', 'EUR']",0.8605,0.7737,3.3,0.54,0.0738,0.23,0.157,0.0238,0.3473,0.0925,0.1286,0.1181,-0.026,0.194,-0.0985,0.0759,0.0229,-0.119,2.76,0.2306,0.0487
2009-11-30,"['GBP', 'NZD', 'AUD']","['CAD', 'EUR', 'JPY']",0.7375,0.5709,3.78,0.53,0.085,0.215,0.1846,0.0699,0.4029,0.1074,0.2094,0.1754,-0.0324,0.2124,-0.1448,0.0627,0.0115,-0.0931,2.79,0.3074,0.0276
2009-12-31,"['GBP', 'AUD', 'NZD']","['EUR', 'CHF', 'JPY']",0.7162,0.6094,3.95,0.51,0.1185,0.215,0.0253,0.1038,0.2705,-0.0252,0.0324,0.1636,-0.0187,0.1947,-0.1214,0.0746,0.0309,-0.0477,2.8,0.2529,0.0477
2010-01-29,"['GBP', 'AUD', 'NZD']","['CAD', 'EUR', 'CHF']",0.7162,0.6094,3.95,0.51,0.1185,0.215,0.081,0.098,0.3885,-0.0032,0.0947,0.1468,-0.0187,0.1947,-0.1214,0.0746,0.0309,-0.0477,2.8,0.3775,0.0477
2010-02-26,"['GBP', 'AUD', 'NZD']","['CAD', 'CHF', 'EUR']",0.712,0.6054,4.129,0.46,0.1156,0.198,0.0758,0.0647,0.403,0.0975,0.09,0.2128,0.0061,0.213,-0.1256,0.0739,0.0299,-0.0781,2.78,0.3939,0.0694
2010-03-31,"['GBP', 'AUD', 'NZD']","['CHF', 'EUR', 'CAD']",0.6617,0.6331,4.16,0.44,0.0987,0.165,0.0203,0.0582,0.3298,0.0621,0.0825,0.2437,0.0341,0.2067,-0.1003,0.0513,0.0079,-0.107,2.73,0.2642,0.0806
2010-04-30,"['GBP', 'AUD', 'NZD']","['CHF', 'CAD', 'EUR']",0.645,0.6455,4.3275,0.43,0.0958,0.228,0.0034,0.0315,0.2715,0.0541,0.0578,0.1726,0.0475,0.2354,-0.1303,0.0526,0.0072,-0.1185,2.67,0.2835,0.0943
2010-05-31,"['JPY', 'AUD', 'NZD']","['CHF', 'EUR', 'CAD']",0.6447,0.6559,4.545,0.4,0.0879,0.3375,-0.133,-0.1037,0.0545,0.0457,-0.0772,0.0464,0.0533,0.2226,-0.156,0.074,-0.0003,-0.1569,2.69,0.0631,0.0848
2010-06-30,"['JPY', 'AUD', 'NZD']","['EUR', 'CAD', 'CHF']",0.6865,0.6971,4.805,0.39,0.0819,0.39,-0.1327,-0.0922,0.0429,0.0872,0.0065,0.0932,0.0736,0.2179,-0.1114,0.0502,0.0032,-0.1488,2.89,0.0619,0.0846
