direction,entry,exit,pnl,open_time,close_time,reason
SHORT,7.819580,7.822140,-0.002560,2024-03-22T05:04:00+00:00,2024-03-26T00:00:00+00:00,REV
LONG,7.822140,7.827370,0.005230,2024-03-26T00:00:00+00:00,2024-04-05T23:57:00+00:00,REV
SHORT,7.827370,7.829390,-0.002020,2024-04-05T23:57:00+00:00,2024-04-08T04:16:00+00:00,REV
LONG,7.829390,7.831460,0.002070,2024-04-08T04:16:00+00:00,2024-04-15T11:25:00+00:00,REV
SHORT,7.831460,7.832580,-0.001120,2024-04-15T11:25:00+00:00,2024-04-19T03:54:00+00:00,REV
LONG,7.832580,7.829130,-0.003450,2024-04-19T03:54:00+00:00,2024-04-19T05:44:00+00:00,REV
SHORT,7.829130,7.833890,-0.004760,2024-04-19T05:44:00+00:00,2024-04-22T09:39:00+00:00,REV
LONG,7.833890,7.830830,-0.003060,2024-04-22T09:39:00+00:00,2024-04-24T23:00:00+00:00,REV
SHORT,7.830830,7.818510,0.012320,2024-04-24T23:00:00+00:00,2024-05-07T02:58:00+00:00,REV
LONG,7.818510,7.815630,-0.002880,2024-05-07T02:58:00+00:00,2024-05-09T03:55:00+00:00,REV
SHORT,7.815630,7.804190,0.011440,2024-05-09T03:55:00+00:00,2024-05-21T12:19:00+00:00,REV
LONG,7.804190,7.806300,0.002110,2024-05-21T12:19:00+00:00,2024-05-28T00:04:00+00:00,REV
SHORT,7.806300,7.814550,-0.008250,2024-05-28T00:04:00+00:00,2024-05-29T17:58:00+00:00,REV
LONG,7.814550,7.813140,-0.001410,2024-05-29T17:58:00+00:00,2024-06-04T15:18:00+00:00,REV
SHORT,7.813140,7.813530,-0.000390,2024-06-04T15:18:00+00:00,2024-06-10T09:36:00+00:00,REV
LONG,7.813530,7.807910,-0.005620,2024-06-10T09:36:00+00:00,2024-06-11T11:08:00+00:00,REV
SHORT,7.807910,7.812520,-0.004610,2024-06-11T11:08:00+00:00,2024-06-14T20:02:00+00:00,REV
LONG,7.812520,7.808580,-0.003940,2024-06-14T20:02:00+00:00,2024-06-18T00:45:00+00:00,REV
SHORT,7.808580,7.807230,0.001350,2024-06-18T00:45:00+00:00,2024-06-24T10:36:00+00:00,REV
LONG,7.807230,7.806360,-0.000870,2024-06-24T10:36:00+00:00,2024-06-28T07:59:00+00:00,REV
SHORT,7.806360,7.809640,-0.003280,2024-06-28T07:59:00+00:00,2024-07-01T05:37:00+00:00,REV
LONG,7.809640,7.809120,-0.000520,2024-07-01T05:37:00+00:00,2024-07-04T02:45:00+00:00,REV
SHORT,7.809120,7.808850,0.000270,2024-07-04T02:45:00+00:00,2024-07-18T14:32:00+00:00,REV
LONG,7.808850,7.806290,-0.002560,2024-07-18T14:32:00+00:00,2024-07-23T00:04:00+00:00,REV
SHORT,7.806290,7.809330,-0.003040,2024-07-23T00:04:00+00:00,2024-07-29T10:16:00+00:00,REV
LONG,7.809330,7.810590,0.001260,2024-07-29T10:16:00+00:00,2024-08-02T09:56:00+00:00,REV
SHORT,7.810590,7.799380,0.011210,2024-08-02T09:56:00+00:00,2024-08-12T04:32:00+00:00,REV
LONG,7.799380,7.789700,-0.009680,2024-08-12T04:32:00+00:00,2024-08-13T04:05:00+00:00,REV
SHORT,7.789700,7.793510,-0.003810,2024-08-13T04:05:00+00:00,2024-08-15T04:16:00+00:00,REV
LONG,7.793510,7.788840,-0.004670,2024-08-15T04:16:00+00:00,2024-08-19T09:08:00+00:00,REV
SHORT,7.788840,7.794700,-0.005860,2024-08-19T09:08:00+00:00,2024-08-22T06:08:00+00:00,REV
LONG,7.794700,7.794330,-0.000370,2024-08-22T06:08:00+00:00,2024-08-29T13:22:00+00:00,REV
SHORT,7.794330,7.796860,-0.002530,2024-08-29T13:22:00+00:00,2024-09-09T03:55:00+00:00,REV
LONG,7.796860,7.796520,-0.000340,2024-09-09T03:55:00+00:00,2024-09-16T06:08:00+00:00,REV
SHORT,7.796520,7.794910,0.001610,2024-09-16T06:08:00+00:00,2024-09-19T03:46:00+00:00,REV
LONG,7.794910,7.789150,-0.005760,2024-09-19T03:46:00+00:00,2024-09-23T01:33:00+00:00,REV
SHORT,7.789150,7.769710,0.019440,2024-09-23T01:33:00+00:00,2024-10-08T04:48:00+00:00,REV
LONG,7.769710,7.768750,-0.000960,2024-10-08T04:48:00+00:00,2024-10-14T00:04:00+00:00,REV
SHORT,7.768750,7.772240,-0.003490,2024-10-14T00:04:00+00:00,2024-10-17T03:59:00+00:00,REV
LONG,7.772240,7.768410,-0.003830,2024-10-17T03:59:00+00:00,2024-10-24T00:04:00+00:00,REV
SHORT,7.768410,7.771880,-0.003470,2024-10-24T00:04:00+00:00,2024-10-28T02:14:00+00:00,REV
LONG,7.771880,7.769660,-0.002220,2024-10-28T02:14:00+00:00,2024-10-29T10:46:00+00:00,REV
